document_id,file_name,char_count,liability_clause_count,termination_clause_count,indemnification_count,financial_entity_count,percentage_entity_count,liability_clause_density_per_10k,termination_clause_density_per_10k,indemnification_density_per_10k
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.txt,26346,0,13,3,0,1,0.0,4.934335382980339,1.1386927806877705
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt,89484,2,28,0,2,1,0.22350364310938267,3.129051003531358,0.0
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,24632,0,10,0,0,0,0.0,4.059759662227997,0.0
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.txt,167973,1,42,16,10,3,0.0595333773880326,2.500401850297369,0.9525340382085216
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.txt,70444,1,21,0,2,0,0.14195673158821193,2.9810913633524505,0.0
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.txt,35504,0,9,5,12,2,0.0,2.534925642181163,1.4082920234339793
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.txt,37796,0,18,0,0,0,0.0,4.762408720499524,0.0
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,39727,0,17,1,0,0,0.0,4.27920557807033,0.2517179751806076
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.txt,23999,0,6,1,3,10,0.0,2.5001041710071252,0.4166840285011876
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.txt,19351,0,14,0,2,0,0.0,7.234768229032092,0.0
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.txt,40519,0,16,13,0,3,0.0,3.948764777018189,3.2083713813272783
"Antares Pharma, Inc. - Manufacturing Agreement","Antares Pharma, Inc. - Manufacturing Agreement.txt",106786,1,26,2,0,0,0.0936452343940217,2.434776094244564,0.1872904687880434
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.txt,16773,0,0,0,0,0,0.0,0.0,0.0
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement,ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.txt,18069,0,5,1,0,0,0.0,2.7671702916597485,0.5534340583319497
